generated_at,decision_id,topic,recommendation,confidence,rationale
2026-06-26T14:31:52.665918+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:31:53.074994+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:31:56.830045+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:34:06.804754+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:35:19.813975+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:35:23.685174+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:37:21.414642+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:37:25.238743+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:40:30.780168+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:40:34.594113+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:50:52.250137+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:51:00.653358+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:51:04.511550+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:55:51.957387+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:57:28.001489+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:57:33.125204+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:59:23.373578+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:59:29.122977+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T15:01:09.030506+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T15:01:12.517388+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T15:02:35.170976+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T15:02:39.851572+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T15:05:29.361620+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:05:33.559571+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:10:45.204481+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:13:22.716721+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:16:18.418654+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:20:04.417421+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:33:46.566116+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:46:00.188052+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:57:35.995529+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T16:17:07.678563+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T16:21:41.827116+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T16:29:40.408566+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T16:42:38.925199+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T16:51:13.159126+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T17:00:23.208571+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T17:15:34.125360+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T17:22:54.707360+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-27T14:25:22.402751+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-27T14:32:02.820995+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T18:34:18.993891+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T18:36:58.976045+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T21:54:27.127130+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T22:11:04.282162+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T22:14:06.235363+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T22:15:11.293904+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T22:17:22.028441+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T22:18:37.116389+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T22:19:59.787654+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T22:24:44.156635+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T22:27:43.826038+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T22:33:57.766826+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T22:35:21.504133+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T22:40:58.763723+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T08:03:52.676230+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T08:07:37.044079+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T08:08:23.259989+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T08:14:56.320395+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T09:06:06.563671+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T09:08:39.092368+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T09:13:38.392549+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T09:46:54.534712+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T09:55:56.803350+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T09:58:36.560028+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T10:03:37.513929+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T10:09:28.529965+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T10:13:43.809644+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T10:16:13.806797+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T10:20:15.013939+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T10:55:12.759226+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T10:59:47.165616+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T11:12:47.007024+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T11:38:08.564238+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T12:13:17.122280+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T12:23:28.961933+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T12:30:36.130576+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T12:35:38.116582+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T12:39:15.849113+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T12:43:18.172290+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T12:53:02.097587+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T13:00:40.997983+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T13:06:55.146813+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T13:12:40.417797+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T13:15:23.298706+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T13:17:13.934930+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T13:22:41.610253+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-29T13:25:24.007477+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
