generated_at,decision_id,topic,recommendation,confidence,rationale
2026-06-26T14:31:52.665918+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:31:53.074994+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:31:56.830045+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:34:06.804754+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:35:19.813975+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:35:23.685174+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:37:21.414642+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:37:25.238743+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:40:30.780168+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:40:34.594113+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:50:52.250137+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:51:00.653358+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:51:04.511550+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:55:51.957387+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:57:28.001489+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:57:33.125204+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:59:23.373578+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T14:59:29.122977+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T15:01:09.030506+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T15:01:12.517388+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T15:02:35.170976+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T15:02:39.851572+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Initial rule-based decision engine.
2026-06-26T15:05:29.361620+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:05:33.559571+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:10:45.204481+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:13:22.716721+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:16:18.418654+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:20:04.417421+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:33:46.566116+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:46:00.188052+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T15:57:35.995529+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T16:17:07.678563+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T16:21:41.827116+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T16:29:40.408566+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T16:42:38.925199+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T16:51:13.159126+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T17:00:23.208571+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T17:15:34.125360+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-26T17:22:54.707360+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-27T14:25:22.402751+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-27T14:32:02.820995+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T18:34:18.993891+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T18:36:58.976045+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
2026-06-28T21:54:27.127130+00:00,decision-001,AI Infrastructure,Monitor closely and prepare capacity action,0.82,Recommendation is based on 4 evidence sources. Calculated confidence is 0.82.
