snapshot_id,generated_at,risk_score,risk_severity,recommendation,source
snapshot-001,2026-06-29T00:00:00+00:00,100,low,Continue monitoring current infrastructure.,manual_seed
snapshot-20260629125302,2026-06-29T12:53:02.974105+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629130041,2026-06-29T13:00:41.959275+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629130656,2026-06-29T13:06:56.083089+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629131241,2026-06-29T13:12:41.312563+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629131524,2026-06-29T13:15:24.295574+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629131714,2026-06-29T13:17:14.865386+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629132242,2026-06-29T13:22:42.528683+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629132524,2026-06-29T13:25:24.960699+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629132942,2026-06-29T13:29:42.163036+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629133049,2026-06-29T13:30:49.320093+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629133328,2026-06-29T13:33:28.773020+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629133429,2026-06-29T13:34:29.878592+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629133621,2026-06-29T13:36:21.421290+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629133836,2026-06-29T13:38:36.790178+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629134057,2026-06-29T13:40:57.190222+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629134745,2026-06-29T13:47:45.853763+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629135131,2026-06-29T13:51:31.078165+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629135242,2026-06-29T13:52:42.634111+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629135503,2026-06-29T13:55:03.397352+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629140009,2026-06-29T14:00:09.407763+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
snapshot-20260629140849,2026-06-29T14:08:49.538067+00:00,80,low,Continue monitoring current infrastructure.,executive_snapshot_builder
